team_api_id,team_long_name,team_short_name
9783,RC Deportivo de La Coruña,COR
8634,FC Barcelona,BAR
8603,Real Betis Balompié,BET
8661,RCD Mallorca,MAL
9865,UD Almería,ALM
9868,Xerez Club Deportivo,XER
10278,Hércules Club de Fútbol,HER
8372,SD Eibar,EIB
7869,Córdoba CF,COR
8371,CA Osasuna,OSA
8302,Sevilla FC,SEV
8315,Athletic Club de Bilbao,BIL
8388,CD Numancia,NUM
8696,Racing Santander,SAN
10281,Real Valladolid,VAL
9864,Málaga CF,MAL
9910,RC Celta de Vigo,CEL
10268,Elche CF,ELC
10205,Villarreal CF,VIL
8305,Getafe CF,GET
8394,Real Zaragoza,ZAR
8306,UD Las Palmas,LAS
10267,Valencia CF,VAL
9869,Real Sporting de Gijón,SPG
8479,RC Recreativo,HUE
9867,CD Tenerife,TEN
8560,Real Sociedad,SOC
8633,Real Madrid CF,REA
8558,RCD Espanyol,ESP
9906,Atlético Madrid,AMA
8581,Levante UD,LEV
7878,Granada CF,GRA
8370,Rayo Vallecano,RAY
