team_api_id,team_long_name,suma_total_overall,suma_total_goles
9906,Atlético Madrid,10965888.0,238644.0
8633,Real Madrid CF,13225216.0,441456.0
8305,Getafe CF,10508672.0,186362.0
10267,Valencia CF,11363216.0,248000.0
8634,FC Barcelona,13191776.0,447844.0
8558,RCD Espanyol,8847160.0,137274.0
8696,Racing Santander,6131072.0,90560.0
9868,Xerez Club Deportivo,298338.0,4332.0
8661,RCD Mallorca,6994128.0,123825.0
9869,Real Sporting de Gijón,6145512.0,92640.0
9864,Málaga CF,11021824.0,204385.0
10205,Villarreal CF,9132008.0,173628.0
8315,Athletic Club de Bilbao,9889576.0,187575.0
8302,Sevilla FC,12563712.0,253045.0
8394,Real Zaragoza,4114032.0,60878.0
8560,Real Sociedad,3401684.0,61275.0
8479,RC Recreativo,289294.0,3638.0
8581,Levante UD,3991748.0,70490.0
8603,Real Betis Balompié,3163576.0,58506.0
9783,RC Deportivo de La Coruña,6380010.0,88806.0
8370,Rayo Vallecano,1323464.0,26977.0
10281,Real Valladolid,2701420.0,42496.0
9867,CD Tenerife,261668.0,4000.0
8371,CA Osasuna,7601368.0,117902.0
9865,UD Almería,4183002.0,64108.0
7878,Granada CF,1257040.0,16940.0
10278,Hércules Club de Fútbol,348270.0,4644.0
8388,CD Numancia,309700.0,4484.0
